prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
124,987,0,0.0,-0.18020815736364176,0.8350963618607959,1
179,3568,0,0.0,-0.2418046585415462,0.7852095465496948,1
323,2469,0,0.0,-0.15281434387667625,0.8582890536388612,1
62,503,0,0.0,-0.3446922316285231,0.7084383548378761,1
24,87,16,1.0,-0.11900359884517958,0.8878046056848752,0
262,808,0,0.0,-0.2119277716115634,0.8090231298931182,1
108,3831,0,0.0,-0.19067321009804633,0.826402604055509,1
202,3740,0,0.0,-0.1797508389256768,0.8354783541639565,1
69,2078,0,0.0,-0.1842191750832468,0.8317534842083006,1
94,1117,0,0.0,-0.28991269709260403,0.7483288960151531,1
71,3173,0,0.0,-0.1634649963471101,0.8491962234511898,1
516,1192,0,0.0,-0.2398013664273066,0.7867841272883224,1
47,3381,0,0.0,-0.16616369119770488,0.8469075915244153,1
149,1766,0,0.0,-0.30287367916577845,0.738692402717635,1
36,704,0,0.0,-0.33975049756256576,0.7119479333492481,1
61,429,0,0.0,-0.25865638939081653,0.7720882751919497,1
232,2771,0,0.0,-0.125555652807295,0.8820066769134934,1
36,3316,0,0.0,-0.09157842569558322,0.9124897507023514,1
107,2811,0,0.0,-0.19572262976626773,0.8222402680272197,1
55,1765,0,0.0,-0.2142745477595992,0.8071267597571097,1
30,636,0,0.0,-0.2913210585014455,0.7472757202769971,1
476,1137,0,0.0,-0.45885851347695794,0.6320046587156298,1
240,169,22,1.0,-0.2318935283242937,0.7930305541038415,0
13,203,24,1.0,-0.11659894815858393,0.8899420344943795,0
376,4018,0,0.0,-0.18430173964857569,0.8316848136783315,1
211,789,0,0.0,-0.5594836039020906,0.5715041101543008,1
84,567,0,0.0,-0.2511741797857824,0.777886867590314,1
69,690,35,1.0,-0.23434034858230254,0.7910925228528076,0
49,509,0,0.0,-0.4649642325279036,0.6281575723962837,1
65,193,20,1.0,-0.2432658689755251,0.7840630280238307,0
507,3844,0,0.0,-0.2670305790385045,0.7656496582770179,1
258,1607,0,0.0,-0.4065162148753412,0.6659662969680292,1
234,867,0,0.0,-0.3366298500519643,0.7141731421354235,1
81,152,41,1.0,-0.13144240832687787,0.8768297717772898,0
145,1139,0,0.0,-0.3434066401242371,0.7093497028532801,1
178,763,0,0.0,-0.43722912690637683,0.6458234389301146,1
49,40,6,1.0,-0.16619720942132213,0.8468792051621123,0
366,1219,0,0.0,-0.2593331663288678,0.7715659204319252,1
130,1332,0,0.0,-0.41190337554552026,0.6623882758659082,1
334,828,0,0.0,-0.14491089774606508,0.8650993719806609,1
57,1707,0,0.0,-0.3445745480844418,0.7085217312801579,1
50,594,0,0.0,-0.33945028643788133,0.7121617001250122,1
65,102,24,2.0,-0.33095856307848187,0.718234929868388,0
217,1102,0,0.0,-0.3603425647185332,0.6974373677084522,1
112,1230,0,0.0,-0.32820835700636025,0.720212942658368,1
175,856,0,0.0,-0.21900625149516997,0.8033166962074829,1
65,91,23,2.0,-0.3142133658229432,0.7303631769930534,0
233,2191,0,0.0,-0.19800153964402822,0.8203685900612581,1
112,1028,0,0.0,-0.21006857115995448,0.8105286651738417,1
233,2191,0,0.0,-0.19800153964402822,0.8203685900612581,1
65,91,23,2.0,-0.3142133658229432,0.7303631769930534,0
233,2640,0,0.0,-0.23045317820208255,0.7941736187684091,1
233,2191,0,0.0,-0.19800153964402822,0.8203685900612581,1
65,91,23,2.0,-0.3142133658229432,0.7303631769930534,0
233,2640,0,0.0,-0.23045317820208255,0.7941736187684091,1
65,91,23,2.0,-0.3142133658229432,0.7303631769930534,0
233,2640,0,0.0,-0.23045317820208255,0.7941736187684091,1
233,2191,0,0.0,-0.19800153964402822,0.8203685900612581,1
65,91,23,2.0,-0.3142133658229432,0.7303631769930534,0
233,2640,0,0.0,-0.23045317820208255,0.7941736187684091,1
27,114,11,1.0,-0.32750033929935723,0.7207230467346329,0
22,129,0,0.0,-0.3290737947378754,0.7195899128387093,1
18,64,13,1.0,-0.5954912524634542,0.5512916759417176,0
24,1275,0,0.0,-0.46250231097668,0.6297059522741575,1
312,3776,0,0.0,-0.22854421654480098,0.7956911137148669,1
47,3580,0,0.0,-0.11114179492256328,0.8948118601547322,1
219,430,59,4.0,-0.15185317529432674,0.8591144107018907,0
83,84,14,1.0,-0.14180176849125323,0.8677932634046402,0
